time, Quad.Est.E.Pos, Quad.Est.S.Z
1.059994,0.115395,0.318950
1.064994,0.138712,0.319157
1.069994,0.154690,0.319299
1.074994,0.179243,0.319516
1.079994,0.196005,0.319664
1.084995,0.221761,0.319892
1.089995,0.239340,0.320047
1.094995,0.266319,0.320285
1.099995,0.284722,0.320447
1.104996,0.080832,0.319079
1.109996,0.070331,0.319187
1.114996,0.054801,0.319352
1.119996,0.045104,0.319465
1.124997,0.033582,0.319637
1.129997,0.030346,0.319755
1.134997,0.035582,0.319935
1.139997,0.044388,0.320058
1.144997,0.061663,0.320247
1.149998,0.074690,0.320375
1.154998,0.095656,0.320573
1.159998,0.110363,0.320708
1.164998,0.133291,0.320914
1.169999,0.149094,0.321055
1.174999,0.173484,0.321271
1.179999,0.190196,0.321419
1.184999,0.215946,0.321645
1.190000,0.233545,0.321800
1.195000,0.260526,0.322037
1.200000,0.278920,0.322198
1.205000,0.077914,0.320834
1.210001,0.067945,0.320942
1.215001,0.053776,0.321106
1.220001,0.045720,0.321218
1.225001,0.038397,0.321389
1.230001,0.038562,0.321506
1.235002,0.046970,0.321686
1.240002,0.056555,0.321808
1.245002,0.074178,0.321996
1.250002,0.087361,0.322124
1.255003,0.108460,0.322320
1.260003,0.123310,0.322454
1.265003,0.146424,0.322660
1.270003,0.162298,0.322800
1.275004,0.186941,0.323015
1.280004,0.203819,0.323162
1.285004,0.229866,0.323387
1.290004,0.247678,0.323541
1.295004,0.275007,0.323776
1.300005,0.293656,0.323937
1.305005,0.069684,0.322579
1.310005,0.060425,0.322685
1.315005,0.048877,0.322848
1.320006,0.043937,0.322960
1.325006,0.043240,0.323131
1.330006,0.047834,0.323247
1.335006,0.060568,0.323426
1.340007,0.071589,0.323547
1.345007,0.090543,0.323734
1.350007,0.104294,0.323861
1.355007,0.126141,0.324057
1.360008,0.141389,0.324190
1.365008,0.165109,0.324395
1.370008,0.181520,0.324534
1.375008,0.206834,0.324748
1.380008,0.224227,0.324894
1.385009,0.250927,0.325118
1.390009,0.269230,0.325271
1.395009,0.297236,0.325505
1.400009,0.316345,0.325665
1.405010,0.047973,0.324312
1.410010,0.039880,0.324418
1.415010,0.033416,0.324580
1.420010,0.035054,0.324691
1.425011,0.045633,0.324861
1.430011,0.056149,0.324977
1.435011,0.074753,0.325154
1.440011,0.088324,0.325275
1.445011,0.109882,0.325461
1.450012,0.124891,0.325588
1.455012,0.148234,0.325782
1.460012,0.164274,0.325915
1.465012,0.189052,0.326118
1.470013,0.205991,0.326257
1.475013,0.232132,0.326470
1.480013,0.249995,0.326615
1.485013,0.277373,0.326838
1.490014,0.296026,0.326990
1.495014,0.324628,0.327223
1.500014,0.344118,0.327382
1.505014,0.053544,0.326034
1.510015,0.047100,0.326140
1.515015,0.042464,0.326301
1.520015,0.044041,0.326412
1.525015,0.052916,0.326581
